GPU Memory Track | 06-Jun-22-16:09:32 | Total Tensor Used Memory:0.0    Mb Total Allocated Memory:0.0    Mb


At JTVAE/fast_molvae/jtnnvae_train.py line 76: <module> Total Tensor Used Memory:0.0    Mb Total Allocated Memory:0.0    Mb

- | 4 * Size:(18, 900)            | Memory: 0.2471 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(76920,)             | Memory: 0.5868 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(479, 932)           | Memory: 1.7029 M | <class 'torch.Tensor'> | torch.float32
- | 4 * Size:(3, 15, 450)         | Memory: 0.3089 M | <class 'torch.Tensor'> | torch.float32
- | 12 * Size:(3, 450)             | Memory: 0.0617 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(315, 450)           | Memory: 1.0814 M | <class 'torch.Tensor'> | torch.float32
- | 3 * Size:(15,)                | Memory: 0.0003 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(926, 1)             | Memory: 0.0035 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(1583, 450)          | Memory: 5.4347 M | <class 'torch.Tensor'> | torch.float32
- | 12 * Size:(10, 450)            | Memory: 0.2059 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(926, 900)           | Memory: 3.1791 M | <class 'torch.Tensor'> | torch.float32
- | 8 * Size:(6, 900)             | Memory: 0.1647 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(580, 60)            | Memory: 0.1327 M | <class 'torch.Tensor'> | torch.float32
- | 19 * Size:(3580,)              | Memory: 0.5189 M | <class 'torch.Tensor'> | torch.int64
- | 4 * Size:(12, 900)            | Memory: 0.1647 M | <class 'torch.Tensor'> | torch.float32
- | 110 * Size:(1,)                 | Memory: 0.0008 M | <class 'torch.Tensor'> | torch.int64
- | 2 * Size:(450, 510)           | Memory: 1.7509 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 1 * Size:(4,)                 | Memory: 3.0517 M | <class 'torch.Tensor'> | torch.int64
- | 2 * Size:(375, 450)           | Memory: 1.2874 M | <class 'torch.Tensor'> | torch.float32
